Slide,Lesson,Classification,Lesson Flow,Passive Type,x,y,time,,id,year,numbers,neworigintime,,intensity
Actions,Project,Active,Required,unknown,29.691,0.85276,2013-08-17T19:52:50.074,,1,1967,1,1900-01-01T00:00:00,,0.01
Planet 6,ne 6:  Application,Active,Bank Option,unknown,15.699,-23.702,2013-08-17T19:45:25.076,,2,1917,2,1900-02-01T00:00:00,,0.0001
Determine Albedo,ne 10:  Ancient Climates,Active,Required,unknown,1.2455,18.414,2013-08-17T19:44:28.998,,3,1817,3,1900-03-01T00:00:00,,0.0002
Europa,fl 2:  Application,Active,Bank Option,unknown,-11.931,9.9978,2013-08-17T19:40:45.348,,4,1814,4,1900-04-01T00:00:00,,0.0003
All,fl 4:  Phototrophy,Active,Required,unknown,-11.766,24.194,2013-08-17T19:39:16.665,,5,1897,5,1900-05-01T00:00:00,,0.0004
Tag Mars,ne 6:  Planetary Evolution,Active,Required,unknown,30.093,0.0079561,2013-08-17T19:36:38.068,,6,1935,6,1900-06-01T00:00:00,,0.0005
Choose Clock,ne 7:  Age Dating,Active,Required,unknown,11.76,-12.252,2013-08-17T19:18:45.724,,7,1927,7,1900-07-01T00:00:00,,0.0006
Lecturette:  Greenhouse Gasses,ne 8:  Inorganic Carbon Cycle,Active,Required,unknown,-14.02,-3.5955,2013-08-17T19:16:55.737,,8,1112,8,1900-08-01T00:00:00,,0.0007
Cold Environment,ne 10:  Ancient Climates,Active,Required,unknown,14.167,4.0402,2013-08-17T19:15:05.884,,9,892,9,1900-09-01T00:00:00,,0.0008
Revisit Chain,ne 10:  Ancient Climates,Active,Required,unknown,-11.266,-13.374,2013-08-17T19:09:38.454,,10,1340,10,1900-10-01T00:00:00,,0.0009
Other,fl 3:  Redox Chemistry,Active,Required,unknown,1.0386,18.114,2013-08-17T19:05:55.324,,11,1769,11,1900-11-01T00:00:00,,0.001
Which Way Up?,ne 7:  Age Dating,Active,Required,unknown,16.811,-14.86,2013-08-17T19:03:45.107,,12,,12,1900-12-01T00:00:00,,0.0011
Max Wobble,fp 2:  Radial Velocity,Active,Required,unknown,-13.504,-23.507,2013-08-17T18:59:05.698,,13,1901,13,1901-01-01T00:00:00,,0.0012
Multi Stars,ne 3:  Gasses,Active,Required,unknown,-13.53,-3.1544,2013-08-17T18:54:06.179,,14,1822,14,1901-02-01T00:00:00,,0.0013
Pulse,L:  Doomsday,Active,Required,unknown,-14.169,-3.9498,2013-08-17T18:52:31.189,,15,1936,15,1901-03-01T00:00:00,,0.0014
Exit,R* 5:  Application,Passive,Required,Text+Image,-5.042,-8.3992,2013-08-17T18:33:30.502,,16,1528,16,1901-04-01T00:00:00,,0.0015
Bacteriochlorophyll A,fl 4:  Phototrophy,Active,Required,unknown,-11.646,24.264,2013-08-17T18:29:58.478,,17,952,17,1901-05-01T00:00:00,,0.0016
Deaths - Blue,R* 5:  Stellar Lifecycles,Active,Required,unknown,-0.027823,-19.579,2013-08-17T18:20:20.85,,18,1850,18,1901-06-01T00:00:00,,0.0017
Aerial Basalts,ne 7:  Age Dating,Active,Required,unknown,15.653,-23.642,2013-08-17T18:13:16.722,,19,1704,19,1901-07-01T00:00:00,,0.0018
Aliens Out There,Intro 5:  The Scientific Process,Active,Required,unknown,29.906,0.49215,2013-08-17T18:11:36.541,,20,,20,1901-08-01T00:00:00,,0.0019
Vis Absorbers,ne 3:  Gasses,Active,Required,unknown,6.7317,4.9864,2013-08-17T18:06:20.225,,21,1780,21,1900-06-01T00:00:00,,0.002
Tag Venus,ne 6:  Planetary Evolution,Active,Required,unknown,29.933,0.391,2013-08-17T18:04:26.377,,22,1937,22,1900-07-01T00:00:00,,0.0021
Move,R* 2:  Brightness,Active,Required,unknown,-13.517,-23.492,2013-08-17T17:54:42.529,,23,1915,23,1900-08-01T00:00:00,,0.0022
IR Absorbers,ne 3:  Gasses,Active,Required,unknown,6.8366,5.0742,2013-08-17T17:52:15.396,,24,1520,24,1900-09-01T00:00:00,,0.0023
Instructions,R* 5:  Application,Passive,Required,Text,-1.5602,-5.2993,2013-08-17T17:44:41.781,,25,1842,25,1900-10-01T00:00:00,,0.0024
Cap Carbonate - Identify,ne 10:  Ancient Climates,Active,Required,unknown,14.187,3.973,2013-08-17T17:43:49.65,,26,1822,26,1900-11-01T00:00:00,,0.0025
Combo 1,R* 6:  Elements,Active,Bank Option,unknown,-11.245,-13.511,2013-08-17T17:41:50.093,,27,1738,27,1900-12-01T00:00:00,,0.0026
Combo 1,R* 6:  Elements,Active,Bank Option,unknown,-11.245,-13.511,2013-08-17T17:39:34.524,,28,1791,28,1901-01-01T00:00:00,,0.0027
Combo 1,R* 6:  Elements,Active,Bank Option,unknown,-11.245,-13.511,2013-08-17T17:32:49.654,,29,1634,29,1901-02-01T00:00:00,,0.0028
Rain --> Soil,ne 8:  Inorganic Carbon Cycle,Active,Required,unknown,-15.276,-4.0506,2013-08-17T17:29:57.879,,30,1966,30,1901-03-01T00:00:00,,0.0029
Solar System,fp 4:  Atmospheres,Active,Required,unknown,-18.261,17.689,2013-08-17T17:28:50.797,,31,1855,31,1902-07-01T00:00:00,,0.003
Build-an-Earth,fp 3:  Planet Composition,Active,Required,unknown,-26.296,-5.4092,2013-08-17T17:24:00.363,,32,1805,32,1902-08-01T00:00:00,,0.0031
Describe Rocks,ne 7:  Age Dating,Active,Required,unknown,16.407,-15.347,2013-08-17T17:15:13.251,,33,1676,33,1902-09-01T00:00:00,,0.0032
Distance - Pluto,Intro 3:  Space,Active,Required,unknown,-2.2998,-24.625,2013-08-17T17:13:12.025,,34,1511,34,1902-10-01T00:00:00,,0.0033
Exoplanets,fp 4:  Atmospheres,Active,Required,unknown,-18.346,17.517,2013-08-17T17:10:58.616,,35,1596,35,1902-11-01T00:00:00,,0.0034
Tag Earth,ne 6:  Planetary Evolution,Active,Required,unknown,29.679,1.2381,2013-08-17T17:03:42.909,,36,,36,1902-12-01T00:00:00,,0.0035
Far Planet,fp 1:  Transits,Active,Required,unknown,-0.5893,17.212,2013-08-17T17:02:39.761,,37,1650,37,1903-01-01T00:00:00,,0.0036
Alien Artifacts,Intro 5:  The Scientific Process,Active,Required,unknown,29.956,0.12922,2013-08-17T16:53:49.994,,38,1808,38,1903-02-01T00:00:00,,0.0037
Marble Bar,ne 10:  Ancient Climates,Active,Required,unknown,-11.269,-13.277,2013-08-17T16:52:35.997,,39,1704,39,1903-03-01T00:00:00,,0.0038
Rates,ne 8:  Inorganic Carbon Cycle,Active,Required,unknown,-15.555,-3.887,2013-08-17T16:48:36.28,,40,1976,40,1903-04-01T00:00:00,,0.0039
Other Planets,ne 1:  Water,Active,Required,unknown,-10.333,-24.867,2013-08-17T16:42:52.635,,41,1803,41,1903-05-01T00:00:00,,0.004
Exact Ages,R* 5:  Stellar Lifecycles,Active,Required,unknown,-0.018236,-19.483,2013-08-17T16:38:08.702,,42,,42,1903-06-01T00:00:00,,0.0041
Alien Origins,Intro 5:  The Scientific Process,Active,Required,unknown,29.975,-0.36933,2013-08-17T16:32:22.853,,43,1677,43,1903-07-01T00:00:00,,0.0042
Lecturette:  Clock Use,ne 7:  Age Dating,Active,Required,unknown,11.619,-12.106,2013-08-17T16:27:09.459,,44,1776,44,1903-08-01T00:00:00,,0.0043
Life Division,fi 1:  Oxygen and Life,Active,Required,unknown,18.575,0.24806,2013-08-17T16:07:52.423,,45,1654,45,1903-09-01T00:00:00,,0.0044
Ancient Aliens,Intro 5:  The Scientific Process,Active,Required,unknown,29.896,-1.3524,2013-08-17T15:59:10.264,,46,1944,46,1903-10-01T00:00:00,,0.0045
Shrink Star,fp 1:  Transits,Active,Required,unknown,-4.8914,5.3939,2013-08-17T15:54:15.213,,47,1927,47,1903-11-01T00:00:00,,0.0046
Tutorial - Move,R* 2:  Brightness,Active,Required,unknown,-9.3951,-25.095,2013-08-17T15:53:35.351,,48,1932,48,1900-06-01T00:00:00,,0.0047
Calculation,Intro 4:  Time,Active,Required,unknown,-8.8412,-24.368,2013-08-17T15:51:52.687,,49,1960,49,1900-07-01T00:00:00,,0.0048
Calculation,Intro 4:  Time,Active,Required,unknown,-8.8412,-24.368,2013-08-17T15:50:38.208,,50,2000,50,1900-08-01T00:00:00,,0.0049
Calculation,Intro 4:  Time,Active,Required,unknown,-8.8412,-24.368,2013-08-17T15:49:32.834,,51,1959,51,1900-09-01T00:00:00,,0.005
Calculation,Intro 4:  Time,Active,Required,unknown,-8.8412,-24.368,2013-08-17T15:46:19.733,,52,1674,52,1900-10-01T00:00:00,,0.0051
Calculation,Intro 4:  Time,Active,Required,unknown,-8.8412,-24.368,2013-08-17T15:42:38.752,,53,1885,53,1900-11-01T00:00:00,,0.0052
Calculation,Intro 4:  Time,Active,Required,unknown,-8.8412,-24.368,2013-08-17T15:40:28.523,,54,1983,54,1900-12-01T00:00:00,,0.0053
Calculation,Intro 4:  Time,Active,Required,unknown,-8.8412,-24.368,2013-08-17T15:39:20.127,,55,1898,55,1901-01-01T00:00:00,,0.0054
Calculation,Intro 4:  Time,Active,Required,unknown,-7.9279,-25.018,2013-08-17T15:38:02.22,,56,1936,56,1901-02-01T00:00:00,,0.0055
Calculation,Intro 4:  Time,Active,Required,unknown,-7.9279,-25.018,2013-08-17T15:24:10.695,,57,1949,57,1901-03-01T00:00:00,,0.0056
Calculation,Intro 4:  Time,Active,Required,unknown,-7.9279,-25.018,2013-08-17T15:21:54.538,,58,1861,58,1904-10-01T00:00:00,,0.0057
