Order,Semester,Lesson,Slide,QID,Classification,Purpose,Activity,Lesson Flow,Passive Type,
1,S16,Science Literacy,Opening Splash,q:1390844859114:110,Passive,Mood,Video,Required,Video,
2,S16,Science Literacy,About Math,q:1408639550959:144,Passive,Information,Text+Image,Required,Text+Image,
3,S16,Science Literacy,Reality Extension,q:1408641871589:159,Passive,Information,Text+Image,Required,Text+Image,
4,S16,Science Literacy,Beyond the Known,q:1408642216820:418,Passive,Information,Text+Image,Required,Text+Image,
5,S16,Science Literacy,Tool Use,q:1408642874183:1001,Passive,Information,Text,Required,Text+Image,
6,S16,Science Literacy,Order of Operations,q:1390844864838:119,Active,Training,Calculation,Required,,
7,S16,Science Literacy,Spreadsheets,q:1408644585383:1051,Active,Training,Calculation,Required,,
8,S16,Science Literacy,Exponents,q:1390844864838:132,Active,Training,Calculation,Required,,
9,S16,Science Literacy,Logarithms,q:1390844864838:138,Active,Training,Calculation,Required,,
10,S16,Science Literacy,Sig Figs,q:1439590595223:569,Active,Training,Calculation,Required,,
11,S16,Science Literacy,Sweet Spot,q:1439590595256:587,Passive,Summary,Text+Image,Required,Text+Image,
12,S16,Science Literacy,Exponentials - Positive,q:1439590632714:592,Active,Training,Calculation,Required,,
13,S16,Science Literacy,Instructions,q:1439589579766:559,Passive,Remediation,Text+Image,Optional,Text+Image,
14,S16,Science Literacy,Exponentials - Negative,q:1439590721384:642,Active,Training,Calculation,Required,,
15,S16,Science Literacy,Instructions 2,q:1439589697326:564,Passive,Remediation,Text+Image,Optional,Text+Image,
16,S16,Science Literacy,Reading Graphs,q:1390844864838:167,Active,Training,Read Graph,Required,,
17,S16,Science Literacy,Numbers,q:1408666016276:184,Active,Training,Compare,Required,,
18,S16,Science Literacy,Classify Units,q:1408666027028:189,Active,Training,Classify,Required,,
19,S16,Science Literacy,Compare Units,q:1408667901459:137,Active,Training,Compare,Required,,
20,S16,Science Literacy,Thinking - Mars,q:1390859661740:836,Active,Training,Opinion,Required,,
21,S16,Science Literacy,Thinking - RH Mars Pattern,q:1390859661740:842,Active,Remediation,Opinion,Optional,,
22,S16,Science Literacy,RH - Compare,q:1408743379895:648,Active,Remediation,Logic,Optional,,
23,S16,Science Literacy,RH - Evaluate,q:1408744073962:450,Active,Remediation,Logic,Optional,,
24,S16,Science Literacy,Thinking - Venus,q:1390859661740:847,Active,Training,Opinion,Required,,
25,S16,Science Literacy,Venus Placement,q:1409605142536:261,Active,Remediation,Opinion,Optional,,
26,S16,Science Literacy,Venus Check,q:1409609004892:267,Active,Remediation,Logic,Optional,,
27,S16,Science Literacy,Thinking - RH Venus,q:1390859661740:853,Active,Remediation,Logic,Optional,,
28,S16,Science Literacy,Thinking - Sun,q:1390859661740:858,Active,Training,Opinion,Required,,
29,S16,Science Literacy,Matter and Energy,q:1408742141899:638,Passive,Information,Text+Image,Required,Text+Image,
30,S16,Science Literacy,Atomic Symbols,q:1408745695830:929,Passive,Information,Text+Image,Required,Text+Image,
31,S16,Science Literacy,Atom Components,q:1425592426957:97,Active,Competency,Classify,Required,,
32,S16,Science Literacy,Periodic Table,q:1410285140133:149,Passive,Information,Text+Image,Required,Text+Image,
33,S16,Science Literacy,Molecules,q:1390868719170:876,Active,Competency,Logic,Required,,
34,S16,Science Literacy,Energy,q:1408987278535:590,Active,Competency,Logic,Required,,
35,S16,Science Literacy,Temperature,q:1408988424187:602,Active,Competency,Logic,Required,,
36,S16,Science Literacy,Matter and Energy,q:1408990215701:610,Passive,Information,Text+Image,Required,Text+Image,
37,S16,Science Literacy,Things to Remember,q:1390844871338:215,Passive,Information,Text,Bank Option,Text,*part of experiment
38,S16,Science Literacy,Video Advice,q:1452098469418:360,Passive,Information,Video,Bank Option,Video,*part of experiment
39,S16,Science Literacy,Conclusion,q:1390844871338:219,Passive,Information,Video,Required,Video,
40,S16,Intro 1:  Preconceptions,Splash,q:1391720583289:189,Passive,Mood,Video,Required,Video,
41,S16,Intro 1:  Preconceptions,Introduction,q:1410304966318:992,Passive,Information,Text,Required,Text,
42,S16,Intro 1:  Preconceptions,Survey - SciFi,q:1391720583289:213,Active,Survey,Opinion,Bank Option,,
43,S16,Intro 1:  Preconceptions,Survey - Voyager,q:1391720583289:217,Active,Survey,Opinion,Bank Option,,
44,S16,Intro 1:  Preconceptions,Perspective,q:1391720583289:225,Passive,Summary,Video,Required,Video+Poll Results,
45,S16,Intro 1:  Preconceptions,Observations,q:1410306693574:1001,Passive,Information,Text,Required,Text,
46,S16,Intro 1:  Preconceptions,Survey Intro,q:1410307514798:1005,Passive,Information,Text,Required,Text,
47,S16,Intro 1:  Preconceptions,CURE Consent,q:1452096795888:195,Active,Information,Opinion,Required,,
48,S16,Intro 1:  Preconceptions,Major,q:1452096819977:208,Active,Survey,Opinion,Required,,
49,S16,Intro 1:  Preconceptions,Major Details,q:1452096820130:216,Active,Survey,Opinion,Optional,,
50,S16,Intro 1:  Preconceptions,Plans,q:1452096820304:220,Active,Survey,Opinion,Required,,
51,S16,Intro 1:  Preconceptions,Reasons,q:1452096820457:224,Active,Survey,Opinion,Required,,
52,S16,Intro 1:  Preconceptions,Abilities 1,q:1452096820582:228,Active,Survey,Opinion,Required,,
53,S16,Intro 1:  Preconceptions,Abilities 2,q:1452096820755:232,Active,Survey,Opinion,Required,,
54,S16,Intro 1:  Preconceptions,Science 1,q:1452096820912:236,Active,Survey,Opinion,Required,,
55,S16,Intro 1:  Preconceptions,Science 2,q:1452096821088:240,Active,Survey,Opinion,Required,,
56,S16,Intro 1:  Preconceptions,Science 3,q:1452096821241:244,Active,Survey,Opinion,Required,,
57,S16,Intro 1:  Preconceptions,Engagement 1,q:1452096821368:248,Active,Survey,Opinion,Required,,
58,S16,Intro 1:  Preconceptions,Engagement 2,q:1452096821541:252,Active,Survey,Opinion,Required,,
59,S16,Intro 1:  Preconceptions,Paired Statements,q:1452096821694:256,Active,Survey,Opinion,Required,,
60,S16,Intro 1:  Preconceptions,Process Knowledge,q:1452096821848:260,Active,Survey,Opinion,Required,,
61,S16,Intro 1:  Preconceptions,Individual Collaborative,q:1452096822018:264,Active,Survey,Opinion,Required,,
62,S16,Intro 1:  Preconceptions,Breakthrough Incremental,q:1452096822145:268,Active,Survey,Opinion,Required,,
63,S16,Intro 1:  Preconceptions,Prelim Final,q:1452096822316:272,Active,Survey,Opinion,Required,,
64,S16,Intro 1:  Preconceptions,Priming,q:1444783321623:635,Passive,Information,Text+Image,Required,Text+Image,
65,S16,Intro 1:  Preconceptions,Lecturette - Preconceptions,q:1391720583289:221,Passive,Information,Video,Required,Video,
66,S16,Intro 2:  Mindscape,Intro Survey,q:1409675180364:278,Active,Survey,Opinion,Required,,
67,S16,Intro 2:  Mindscape,Lec - Brains,q:1409675505677:283,Passive,Information,Video,Required,Video,
68,S16,Intro 2:  Mindscape,Brains,q:1409676282753:300,Passive,Information,Text+Image,Required,Text+Image,
69,S16,Intro 2:  Mindscape,Patterns - Report,q:1409676282753:304,Active,Observation,Report,Required,,
70,S16,Intro 2:  Mindscape,Patterns - Analyze,q:1409676282753:312,Passive,Summary,Text+Image,Required,Text+Poll Results,
71,S16,Intro 2:  Mindscape,Obs 1,q:1409676914868:349,Active,Competency,Logic,Bank Option,,
72,S16,Intro 2:  Mindscape,Obs 2,q:1409677610449:357,Active,Competency,Logic,Bank Option,,
73,S16,Intro 2:  Mindscape,Obs 3,q:1409678237668:363,Active,Competency,Logic,Bank Option,,
74,S16,Intro 2:  Mindscape,Obs 4,q:1409678618333:369,Active,Competency,Logic,Bank Option,,
75,S16,Intro 2:  Mindscape,Obs 5,q:1409679524024:375,Active,Competency,Logic,Bank Option,,
76,S16,Intro 2:  Mindscape,Obs 6,q:1409692469217:381,Active,Competency,Logic,Bank Option,,
77,S16,Intro 2:  Mindscape,Obs 7,q:1409692611026:387,Active,Competency,Logic,Bank Option,,
78,S16,Intro 2:  Mindscape,Obs 8,q:1409693579368:393,Active,Competency,Logic,Bank Option,,
79,S16,Intro 2:  Mindscape,Obs 9,q:1409694148359:399,Active,Competency,Logic,Bank Option,,
80,S16,Intro 2:  Mindscape,Confirmation Bias - Listen,q:1409695245350:405,Passive,Information,Audio,Required,Audio,
81,S16,Intro 2:  Mindscape,Confirmation Bias - Report,q:1409696926421:877,Active,Observation,Report,Required,,
82,S16,Intro 2:  Mindscape,Confirmation Bias - Listen,q:1409697065799:882,Active,Observation,Report,Required,,
83,S16,Intro 2:  Mindscape,Confirmation Bias - Analyze,q:1409697970133:887,Passive,Summary,Text+Image,Required,Text+Poll Results,
84,S16,Intro 2:  Mindscape,Witness - Report,q:1409676282753:320,Active,Observation,Report,Required,,
85,S16,Intro 2:  Mindscape,Witness - Report 2,q:1409676282753:324,Active,Observation,Report,Required,,
86,S16,Intro 2:  Mindscape,Witness - Report 3,q:1425685108488:874,Active,Observation,Report,Required,,
87,S16,Intro 2:  Mindscape,Witness - Analyze,q:1409676282753:328,Passive,Summary,Text+Image,Required,Text+Poll Results,
88,S16,Intro 2:  Mindscape,Memory - Report,q:1409676282753:332,Active,Observation,Report,Required,,
89,S16,Intro 2:  Mindscape,Memory - Analyze,q:1409676282753:336,Passive,Summary,Text+Image,Required,Text+Poll Results,
90,S16,Intro 2:  Mindscape,Brains,q:1409783242787:446,Passive,Information,Text+Image,Required,Text+Image,
91,S16,Intro 2:  Mindscape,Aware,q:1409783369430:450,Passive,Information,Text+Image,Required,Text+Image,
92,S16,Intro 2:  Mindscape,More Brains,q:1409783475863:454,Passive,Information,Text+Image,Required,Text+Image,
93,S16,Intro 2:  Mindscape,Concluding Survey,q:1409783799146:468,Active,Survey,Opinion,Required,,
94,S16,Intro 2:  Mindscape,Lec - Peer Review,q:1409783799146:472,Passive,Summary,Video,Required,Video,
95,S16,Intro 3:  Space,First Thoughts,q:1391729546041:13,Active,,,Required,,
96,S16,Intro 3:  Space,Distance - AZ-CA,q:1391729550822:25,Active,,,Required,,
97,S16,Intro 3:  Space,Distance - Moon,q:1391729550822:33,Active,,,Required,,
