subject,course,x,y
Lecturette:  C Cycle,ne 8: Inorganic Carbon Cycle,-15.503,-3.0559
Actions,Project,29.691,0.85276
Planet 6,ne 6: Application,15.699,-23.702
Determine Albedo,ne 10: Ancient Climates,1.2455,18.414
Europa,fl 2: Application,-11.931,9.9978
All,fl 4: Phototrophy,-11.766,24.194
Tag Mars,ne 6: Planetary Evolution,30.093,0.0079561
Choose Clock,ne 7: Age Dating,11.76,-12.252
Lecturette:  Greenhouse Gasses,ne 8: Inorganic Carbon Cycle,-14.02,-3.5955
Cold Environment,ne 10: Ancient Climates,14.167,4.0402
Revisit Chain,ne 10: Ancient Climates,-11.266,-13.374
Other,fl 3: Redox Chemistry,1.0386,18.114
Which Way Up?,ne 7: Age Dating,16.811,-14.86
Max Wobble,fp 2: Radial Velocity,-13.504,-23.507
Multi Stars,ne 3: Gasses,-13.53,-3.1544
Pulse,L: Doomsday,-14.169,-3.9498
Exit,R* 5: Application,-5.042,-8.3992
Bacteriochlorophyll A,fl 4: Phototrophy,-11.646,24.264
Deaths - Blue,R* 5: Stellar Lifecycles,-0.027823,-19.579
Aerial Basalts,ne 7: Age Dating,15.653,-23.642
Aliens Out There,Intro 5: The Scientific Process,29.906,0.49215
Vis Absorbers,ne 3: Gasses,6.7317,4.9864
Tag Venus,ne 6: Planetary Evolution,29.933,0.391
Move,R* 2: Brightness,-13.517,-23.492
IR Absorbers,ne 3: Gasses,6.8366,5.0742
Instructions,R* 5: Application,-1.5602,-5.2993
Cap Carbonate - Identify,ne 10: Ancient Climates,14.187,3.973
Combo 1,R* 6: Elements,-11.245,-13.511
Rain --> Soil,ne 8: Inorganic Carbon Cycle,-15.276,-4.0506
Solar System,fp 4: Atmospheres,-18.261,17.689
Build-an-Earth,fp 3: Planet Composition,-26.296,-5.4092
Describe Rocks,ne 7: Age Dating,16.407,-15.347
Distance - Pluto,Intro 3: Space,-2.2998,-24.625
Exoplanets,fp 4: Atmospheres,-18.346,17.517
Tag Earth,ne 6: Planetary Evolution,29.679,1.2381
Far Planet,fp 1: Transits,-0.5893,17.212
Alien Artifacts,Intro 5: The Scientific Process,29.956,0.12922
Marble Bar,ne 10: Ancient Climates,-11.269,-13.277
Rates,ne 8: Inorganic Carbon Cycle,-15.555,-3.887
Other Planets,ne 1: Water,-10.333,-24.867
Exact Ages,R* 5: Stellar Lifecycles,-0.018236,-19.483
Alien Origins,Intro 5: The Scientific Process,29.975,-0.36933
Lecturette:  Clock Use,ne 7: Age Dating,11.619,-12.106
Lecturette:  Density,fp 3: Planet Composition,-11.758,24.007
Life Division,fi 1: Oxygen and Life,18.575,0.24806
Ancient Aliens,Intro 5: The Scientific Process,29.896,-1.3524
Shrink Star,fp 1: Transits,-4.8914,5.3939
Tutorial - Move,R* 2: Brightness,-9.3951,-25.095
Calculation,Intro 4: Time,-8.8412,-24.368
Reading Graphs,Science Literacy,-7.4357,2.6483
Lecturette:  Plate Tectonics,ne 8: Inorganic Carbon Cycle,-14.422,-3.8682
Object Temps,R* 3: Color,4.0167,14.405
Molecules,ne 8: Inorganic Carbon Cycle,-14.794,-4.0335
H2S,ne 3: Gasses,11.671,27.915
Exponents,Science Literacy,-7.238,2.5786
Distance - Proxima Centauri,Intro 3: Space,-2.354,-24.426
Snowball Break,ne 10: Ancient Climates,11.55,27.305
Energy Sources,fl 1: Defining Life,-18.423,17.379
Metallicity,R* 6: Elements,12.439,-19.862
Reservoirs,ne 8: Inorganic Carbon Cycle,-15.113,-4.1662
